SKU,UPC Code,Product Description,Brand Code,Brand Name,2025.04_Status,25-Apr
MUZ58055,8809836580555 ,"Fitting Blush, 05 Find, 1 Count",MUZ,Muzigae Mansion,On Sale,3
APB68401,8809874684017 ,"Glutathione Niacinamide, Toner Pad, 60 Pads, 3.38 fl oz (100 ml)",APB,APLB,On Sale,49
DMX48199,8809886481994 ,"Cemenrete, Picotonic Shot Pigmentation Corrector Calcium Cream, 0.88 oz (25 g)",DMX,Dr.Melaxin,On Sale,14
HBF45028,8800279450283 ,"Milk Caramel Popcorn, 80 g",HBF,HBAF,New Pending,0
NRP48844,8806173488445 ,"Super Aqua Max, Watery Emulsion, 4.39 fl oz (130 ml)",NRP,Nature Republic,On Sale,17
MUZ58072,8809836580722 ,"Moodwear Blur Lipstick, 002 Maxi, 1 Count",MUZ,Muzigae Mansion,On Sale,6
PNA07115,8809704071154 ,"Cicamanu Serum Mist, 1.69 fl oz (50 ml)",PNA,Parnell,New Pending,0
PNA09328,8809704093286 ,"Cicamanu Serum Cushion, 34W Tan, 0.52 oz (15 g)",PNA,Parnell,New Pending,0
APB68523,8809874685236 ,"Tranexamic Acid Niacinamide Beauty Sheet Mask, 10 Sheets, 0.85 fl oz (25 ml) Each",APB,APLB,New Pending,0
DMX48185,8809886481857 ,"Bondex Clinic II, Protein Bonding Remodeling Clinic, 8.45 fl oz (250 ml)",DMX,Dr.Melaxin,On Sale,13
HBF45029,8800279450290 ,"Caramel & Cheese Popcorn, 80 g",HBF,HBAF,New Pending,0
PNA09303,8809704093033 ,"Cicamanu Serum Cushion, 27N Rich Ratan, 0.52 oz (15 g)",PNA,Parnell,New Pending,0
APB68541,8809874685410 ,"Liposomal Niacinamide LX Cream , 1.86 fl oz (55 ml)",APB,APLB,New Pending,0
DMX48243,8809886482434 ,"Melting Cleanser, Bubble Foaming Cleanser, All Type of Skin, 5.07 fl oz (150 ml)",DMX,Dr.Melaxin,New Seller,9
PIT10220,8809563102204 ,"Re:fresh Cleansing Bar, Charcoal + Sea Kelp, Fragrance Free, 3.52 oz (100 g)",PIT,Purito,NoPO,8
LFT67861,8805915678618 ,"Probiotic, Bebe, 60 Sticks, (2 g) Each",LFT,Lactofit,On Sale,86
NRP45606,8806173456062 ,"Real Nature Beauty Mask Sheet, Olive, 1 Sheet, 0.77 fl oz (23 ml)",NRP,Nature Republic,On Sale,89
